Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Age
4.75,18.54,50000,2,0,0,0,13
4.1,6.8,39485,2,0,0,1,9
13.725000000000001,22.8,41000,1,0,1,0,9
6.95,18.61,40001,2,0,0,0,10
4.5,7.7,40588,2,0,0,0,8
13.725000000000001,22.8,78000,1,0,1,0,9
13.725000000000001,22.8,47000,1,0,1,0,8
13.725000000000001,22.8,6000,1,0,1,0,6
4.75,6.95,45000,1,0,0,0,9
13.725000000000001,22.8,11000,2,0,1,0,6
9.25,20.45,59000,1,0,0,0,13
4.35,13.74,88000,2,0,0,0,12
13.725000000000001,20.91,12000,2,0,0,0,7
3.95,6.76,71000,1,0,0,0,9
4.5,12.48,45000,1,0,0,0,12
7.45,18.61,56001,2,0,0,0,10
2.65,5.71,43000,2,0,0,0,12
4.9,8.93,83000,1,0,0,0,9
3.95,6.8,36000,2,0,0,0,8
5.5,14.68,72000,2,0,0,0,10
1.5,12.35,135154,2,0,1,0,19
5.25,22.8,80000,2,0,1,0,13
13.725000000000001,22.8,89000,1,0,1,0,11
13.725000000000001,14.89,23000,1,0,0,0,7
4.75,7.85,40000,1,0,0,0,8
13.725000000000001,22.8,15000,1,0,1,0,6
12.5,13.46,38000,1,0,0,0,8
3.49,13.46,197176,1,0,0,0,18
2.5,22.8,142000,2,1,1,3,17
13.725000000000001,22.8,78000,1,0,0,0,13
5.9,13.74,56000,2,0,0,0,11
3.45,6.05,47000,2,0,0,0,10
4.75,6.76,40000,2,0,0,0,9
3.8,18.61,62000,2,0,0,0,14
11.25,16.09,58242,1,0,0,0,9
3.51,13.7,75000,2,0,0,0,18
4.0,22.78,89000,2,0,1,0,15
5.85,18.61,72000,2,0,0,0,11
13.725000000000001,22.8,29000,1,0,1,0,7
13.725000000000001,18.64,8700,2,0,0,0,6
7.05,18.61,45000,2,0,0,0,10
9.65,20.45,50024,1,0,0,0,13
1.75,1.9,3000,2,1,0,0,7
1.7,1.82,1400,2,1,0,0,6
1.65,1.78,4000,2,1,0,0,6
1.45,1.6,1200,2,1,0,0,6
1.35,1.47,4100,2,1,0,0,6
1.35,2.37,21700,2,1,0,0,8
1.35,3.45,16500,2,1,0,1,9
1.25,1.5,15000,2,1,0,0,10
1.2,1.5,18000,2,1,0,0,7
1.2,1.47,11000,2,1,0,0,6
1.2,1.78,6000,2,1,0,0,7
1.15,1.5,8700,2,1,0,0,7
1.15,2.4,7000,2,1,0,0,9
1.15,1.4,35000,2,1,0,0,7
1.15,1.47,17000,2,1,0,0,8
1.11,1.47,17500,2,1,0,0,8
1.1,1.47,33000,2,1,0,0,10
1.1,1.9,14000,2,1,0,0,8
1.1,1.47,26000,2,1,0,0,8
1.05,1.9,5400,2,1,0,0,10
1.05,1.26,5700,2,1,0,0,7
1.05,1.5,6900,2,1,0,0,12
1.05,1.17,6000,2,1,0,0,7
1.0,1.47,46500,2,1,0,0,10
0.95,1.75,11500,2,1,0,0,11
0.9,1.75,40000,2,1,0,0,14
0.9,0.95,1300,2,1,0,0,6
0.75,0.8,7000,2,1,0,0,7
0.8,0.87,3000,2,1,0,0,6
0.78,0.84,5000,2,1,0,0,6
0.75,0.87,11000,2,1,0,0,6
0.75,0.82,18000,2,1,0,0,8
0.75,0.95,3500,2,1,0,0,6
0.72,0.95,500,2,1,0,0,7
0.65,0.81,11800,2,1,0,0,6
0.65,0.74,5000,2,1,0,0,8
0.65,1.2,23500,2,1,0,0,9
0.65,0.787,16000,2,1,0,0,10
0.6,0.87,15000,2,1,0,0,7
0.6,0.95,16600,2,1,0,0,8
0.6,1.2,32000,2,1,0,0,10
0.6,0.8,20000,2,1,0,0,7
0.6,0.84,29000,2,1,0,0,8
0.6,0.84,25000,2,1,0,0,7
0.6,0.99,25000,2,1,0,0,9
0.6,0.81,19000,2,1,0,0,11
0.55,0.787,15000,2,1,0,0,9
0.55,0.84,58000,2,1,0,0,8
0.52,0.94,45000,2,1,0,0,13
0.51,0.94,24000,2,1,0,0,7
0.5,0.826,6000,2,1,0,0,12
0.5,0.55,31000,2,1,0,0,7
0.5,0.99,13000,2,1,0,0,11
0.5,0.99,45000,2,1,0,0,10
0.5,0.88,8000,2,1,0,0,9
0.48,0.51,4300,2,1,1,0,6
0.48,0.52,15000,2,1,0,0,6
0.48,0.84,23000,2,1,0,0,8
0.48,0.54,8600,2,1,0,0,6
0.45,0.51,4000,2,1,1,0,6
0.45,0.95,24000,2,1,0,0,12
0.45,0.826,23000,2,1,0,0,9
0.45,0.99,14500,2,1,0,0,11
0.45,0.95,27000,2,1,0,0,13
0.45,0.54,14000,2,1,0,0,7
0.45,0.54,500,2,1,1,0,7
0.45,0.55,1000,2,1,0,0,7
0.42,0.81,42000,2,1,0,0,9
0.42,0.73,12000,2,1,0,0,10
0.4,0.54,14000,2,1,0,0,8
0.4,0.83,5500,2,1,0,0,11
0.4,0.55,6700,2,1,0,0,8
0.4,0.64,13700,2,1,0,0,9
0.4,0.51,1300,2,1,1,0,6
0.38,0.72,38600,2,1,0,0,8
0.38,0.787,75000,2,1,0,0,12
0.35,1.05,30000,2,1,0,0,12
0.35,0.57,24000,2,1,1,0,7
0.35,0.52,19000,2,1,1,0,9
0.31,1.05,213000,2,1,0,0,13
0.3,0.51,60000,2,1,0,0,11
0.3,0.48,50000,2,1,0,0,7
0.3,0.58,30000,2,1,0,0,10
0.27,0.47,21000,2,1,0,0,10
0.25,0.75,26000,2,1,0,1,15
0.25,0.58,1900,2,1,1,0,15
0.25,0.52,22000,2,1,1,0,13
0.25,0.51,32000,2,1,0,0,10
0.25,0.57,18000,2,1,0,0,10
0.2,0.57,55000,2,1,0,0,18
0.2,0.75,60000,2,1,0,0,15
0.2,0.57,25000,2,1,0,1,11
0.2,0.75,49000,2,1,0,1,16
0.2,0.65,24000,2,1,0,1,10
0.2,0.787,50000,2,1,0,0,15
0.18,0.32,35000,2,1,0,0,8
0.17,0.52,500000,2,1,1,0,15
0.16,0.51,33000,2,1,0,0,13
0.15,0.57,35000,2,1,0,1,12
0.12,0.58,53000,2,1,0,0,16
0.1,0.75,92233,2,1,0,0,17
3.25,6.79,58000,1,0,0,1,13
4.4,5.7,28200,2,0,0,0,8
2.95,4.6,53460,2,0,0,0,12
2.75,4.43,28282,2,0,0,0,8
5.25,5.7,3493,2,0,0,1,7
5.75,7.13,12479,2,0,0,0,6
5.15,5.7,34797,2,0,1,0,8
7.9,8.1,3435,2,0,0,0,6
4.85,5.7,21125,1,0,0,0,8
3.1,4.6,35775,2,0,0,0,11
11.75,14.79,43535,1,0,0,0,8
11.25,13.6,22671,2,0,0,0,7
2.9,6.79,31604,2,0,0,0,12
5.25,5.7,20114,2,0,0,0,6
4.5,9.4,36100,2,0,0,0,11
2.9,4.43,12500,2,0,0,0,7
3.15,4.43,15000,2,0,0,0,7
6.45,9.4,45078,2,0,0,0,9
4.5,9.4,36000,2,0,0,0,11
3.5,4.43,38488,2,0,0,0,6
4.5,6.79,32000,2,0,1,0,10
6.0,7.6,77632,1,0,0,0,9
8.25,9.4,61381,1,0,0,0,8
5.11,9.4,36198,2,0,1,0,10
2.7,4.6,22517,2,0,0,0,12
5.25,5.7,24678,2,0,0,0,8
2.55,4.43,57000,2,0,0,0,12
4.95,9.4,60000,1,0,0,0,11
3.1,6.79,52132,1,0,0,0,11
6.15,9.4,45000,1,0,0,0,10
9.25,9.4,15001,2,0,0,0,6
11.45,14.79,12900,2,0,1,0,8
3.9,5.7,53000,1,0,0,0,10
5.5,5.7,4492,2,0,0,0,8
9.1,9.4,15141,2,0,0,0,6
3.1,4.43,11849,2,0,0,0,7
11.25,13.6,68000,1,0,0,0,8
4.8,9.4,60241,2,0,0,0,10
2.0,4.43,23709,2,0,0,0,11
5.35,9.4,32322,1,0,0,0,11
4.75,7.13,35866,2,0,0,1,8
4.4,7.13,34000,2,0,0,0,9
6.25,7.6,7000,2,0,0,0,7
5.95,9.4,49000,1,0,0,0,10
5.2,9.4,71000,1,0,0,0,11
3.75,6.79,35000,2,0,0,0,11
5.95,9.4,36000,2,0,0,0,8
4.0,4.6,30000,2,0,0,0,10
5.25,7.6,17000,2,0,0,0,7
12.9,13.6,35934,1,0,0,0,7
5.0,9.9,56701,2,0,0,0,10
5.4,6.82,31427,2,0,1,0,8
7.2,9.9,48000,1,0,0,0,9
5.25,9.9,54242,2,0,0,0,10
3.0,5.35,53675,2,0,0,0,11
10.25,13.6,49562,2,0,0,0,7
8.5,13.6,40324,2,0,0,0,8
8.4,13.6,25000,2,0,0,0,8
3.9,7.0,36054,2,0,0,0,9
9.15,13.6,29223,2,0,0,0,7
5.5,5.97,5600,2,0,0,0,7
4.0,5.8,40023,2,0,0,0,8
6.6,7.7,16002,2,0,0,0,7
4.0,7.0,40026,2,0,0,0,8
6.5,8.7,21200,2,0,0,0,6
3.65,7.0,35000,2,0,0,0,9
8.35,9.4,19434,1,0,0,0,7
4.8,5.8,19000,2,0,0,0,6
6.7,10.0,18828,2,0,0,0,8
4.1,10.0,69341,2,0,0,0,12
3.0,10.0,69562,2,0,0,0,14
7.5,10.0,27600,2,0,0,0,8
2.25,7.5,61203,2,0,0,0,13
5.3,6.8,16500,2,0,0,0,9
10.9,13.6,30753,2,0,1,0,7
8.65,13.6,24800,2,0,0,0,8
9.7,13.6,21780,2,0,0,0,8
6.0,8.4,4000,2,0,0,0,7
6.25,13.6,40126,2,0,0,0,9
5.25,5.9,14465,2,0,0,0,8
2.1,7.6,50456,2,0,0,0,17
8.25,14.0,63000,1,0,0,0,9
8.99,11.8,9010,2,0,0,0,7
3.5,5.9,9800,2,0,0,0,10
7.4,8.5,15059,2,0,1,0,7
5.65,7.9,28569,2,0,0,0,7
5.75,7.5,44000,2,0,1,0,8
8.4,13.6,34000,2,0,0,0,8
10.11,13.6,10980,2,0,0,0,7
4.5,6.4,19000,2,0,0,0,9
5.4,6.1,31427,2,0,0,0,8
6.4,8.4,12000,2,0,0,0,7
3.25,9.9,38000,2,0,0,0,13
3.75,6.8,33019,2,0,0,0,9
8.55,13.09,60076,1,0,0,0,8
9.5,11.6,33988,1,0,0,0,7
4.0,5.9,60000,2,0,0,0,8
3.35,11.0,87934,2,0,0,0,14
11.5,12.5,9000,1,0,0,0,6
5.3,5.9,5464,2,0,0,0,7
